,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001
1014,1893.0,141.0,583.0,681.0,386.0,102.0,2200.0,139.0,377.0,238.0,342.0,303.0,281.0,225.0,69.0,226.0,585.0,,,,,,,,,,,,,,,
1015,1228.0,92.0,404.0,505.0,167.0,60.0,1455.0,76.0,211.0,149.0,229.0,237.0,265.0,124.0,73.0,91.0,390.0,,,,,,,,,,,,,,,
1016,23253.0,2323.0,7322.0,8885.0,3215.0,1508.0,28637.0,3576.0,5186.0,3209.0,4471.0,3655.0,3593.0,2027.0,861.0,2059.0,8540.0,,,,,,,,,,,,,,,
1017,1933.0,195.0,751.0,682.0,164.0,141.0,2137.0,215.0,457.0,247.0,373.0,266.0,277.0,184.0,32.0,86.0,536.0,,,,,,,,,,,,,,,
1018,1934.0,156.0,677.0,654.0,365.0,82.0,2134.0,127.0,344.0,185.0,378.0,315.0,381.0,142.0,71.0,191.0,564.0,,,,,,,,,,,,,,,
1019,16982.0,1360.0,6329.0,5841.0,2302.0,1150.0,20377.0,2142.0,3385.0,1692.0,2717.0,2776.0,3445.0,2105.0,669.0,1446.0,6283.0,,,,,,,,,,,,,,,
1020,22810.0,2016.0,5994.0,7967.0,4122.0,2711.0,27448.0,2381.0,4553.0,2679.0,4529.0,2922.0,4439.0,2306.0,1066.0,2573.0,8595.0,,,,,,,,,,,,,,,
1021,1338.0,99.0,344.0,568.0,235.0,92.0,1562.0,123.0,228.0,110.0,263.0,262.0,260.0,160.0,32.0,124.0,407.0,,,,,,,,,,,,,,,
1022,2216.0,115.0,960.0,788.0,255.0,98.0,2492.0,202.0,416.0,289.0,528.0,337.0,357.0,179.0,40.0,144.0,576.0,,,,,,,,,,,,,,,
1023,2449.0,537.0,672.0,912.0,210.0,118.0,3024.0,380.0,546.0,300.0,420.0,358.0,438.0,271.0,74.0,237.0,1153.0,,,,,,,,,,,,,,,
1024,6354.0,694.0,1862.0,2367.0,961.0,470.0,7963.0,626.0,1675.0,794.0,1183.0,1044.0,1311.0,695.0,169.0,466.0,2254.0,,,,,,,,,,,,,,,
1025,2941.0,339.0,813.0,1124.0,494.0,171.0,3418.0,277.0,573.0,349.0,591.0,525.0,540.0,224.0,51.0,288.0,1033.0,,,,,,,,,,,,,,,
1026,19413.0,1664.0,5501.0,6690.0,3881.0,1677.0,23289.0,1665.0,3568.0,2151.0,3250.0,3291.0,3780.0,2470.0,1012.0,2102.0,6700.0,,,,,,,,,,,,,,,
1027,10988.0,1003.0,4132.0,3580.0,1548.0,725.0,12878.0,1151.0,1972.0,1299.0,1932.0,1866.0,2000.0,1225.0,455.0,978.0,3721.0,,,,,,,,,,,,,,,
1028,831.0,95.0,289.0,195.0,200.0,52.0,978.0,82.0,163.0,82.0,150.0,190.0,141.0,77.0,22.0,71.0,279.0,,,,,,,,,,,,,,,
1029,5869.0,435.0,2147.0,2061.0,910.0,316.0,6860.0,439.0,1173.0,665.0,1093.0,742.0,975.0,699.0,158.0,916.0,1824.0,,,,,,,,,,,,,,,
1030,23369.0,2259.0,6574.0,7780.0,4221.0,2535.0,32003.0,3942.0,7109.0,3931.0,5014.0,3493.0,4056.0,2193.0,669.0,1596.0,8444.0,,,,,,,,,,,,,,,
1031,17221.0,1167.0,4184.0,5743.0,4297.0,1830.0,23633.0,1622.0,5161.0,2116.0,3790.0,2749.0,3424.0,1688.0,945.0,2138.0,6212.0,,,,,,,,,,,,,,,
1032,4521.0,457.0,1623.0,1586.0,584.0,271.0,5146.0,516.0,880.0,653.0,863.0,789.0,596.0,379.0,137.0,333.0,1315.0,,,,,,,,,,,,,,,
1033,14004.0,1790.0,4504.0,5241.0,1614.0,855.0,16502.0,1596.0,2868.0,1897.0,2900.0,2433.0,2206.0,1285.0,337.0,980.0,4850.0,,,,,,,,,,,,,,,
1034,6786.0,727.0,2706.0,2394.0,708.0,251.0,7813.0,954.0,1271.0,805.0,1083.0,1058.0,1180.0,719.0,222.0,521.0,2221.0,,,,,,,,,,,,,,,
1035,328321.0,35679.0,86253.0,105699.0,66165.0,34525.0,398004.0,49612.0,62601.0,33589.0,57918.0,48659.0,52911.0,38110.0,14478.0,40126.0,133852.0,,,,,,,,,,,,,,,
1036,13265.0,4354.0,3539.0,3765.0,1185.0,422.0,16808.0,2362.0,3122.0,1342.0,2615.0,2539.0,1970.0,1308.0,352.0,1198.0,7201.0,,,,,,,,,,,,,,,
1037,3523.0,174.0,1156.0,1373.0,490.0,330.0,3961.0,212.0,551.0,435.0,757.0,739.0,615.0,348.0,51.0,253.0,901.0,,,,,,,,,,,,,,,
1038,1934.0,130.0,655.0,619.0,418.0,112.0,2133.0,103.0,368.0,272.0,385.0,274.0,307.0,201.0,38.0,185.0,506.0,,,,,,,,,,,,,,,
1039,388234.0,16797.0,56131.0,103223.0,132207.0,79876.0,457966.0,42067.0,59650.0,28998.0,49771.0,46176.0,62850.0,48024.0,21833.0,98597.0,145352.0,,,,,,,,,,,,,,,
1040,67159.0,3172.0,12299.0,18136.0,17727.0,15825.0,99142.0,9031.0,23215.0,9326.0,12938.0,9614.0,12207.0,8504.0,3305.0,11002.0,22138.0,,,,,,,,,,,,,,,
1041,1808.0,119.0,566.0,679.0,324.0,120.0,2004.0,108.0,360.0,119.0,287.0,290.0,365.0,220.0,73.0,182.0,594.0,,,,,,,,,,,,,,,
1042,22327.0,1149.0,7241.0,8161.0,3876.0,1900.0,26101.0,2635.0,3238.0,2058.0,3527.0,3393.0,3852.0,2894.0,1143.0,3361.0,8295.0,,,,,,,,,,,,,,,
1043,3743.0,884.0,849.0,1225.0,594.0,191.0,4541.0,538.0,684.0,347.0,490.0,580.0,784.0,497.0,200.0,421.0,1762.0,,,,,,,,,,,,,,,
1044,1087.0,92.0,329.0,379.0,229.0,58.0,1231.0,109.0,167.0,78.0,247.0,160.0,164.0,103.0,66.0,137.0,429.0,,,,,,,,,,,,,,,
1045,1855.0,148.0,512.0,730.0,335.0,130.0,2160.0,206.0,388.0,210.0,299.0,352.0,301.0,220.0,57.0,127.0,612.0,,,,,,,,,,,,,,,
