,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001
0,,,,,,,,,,,,,,,,,729577.0,,,,,,,,,,,,,,,
1,3276637.0,481059.0,1012551.0,979449.0,503930.0,299648.0,3941362.0,580888.0,708808.0,402294.0,595121.0,431768.0,450574.0,300156.0,114417.0,357336.0,1100289.0,,,,,,,,,,,,,,,
2,475442.0,36177.0,131293.0,170151.0,88308.0,49513.0,582153.0,30200.0,112064.0,40684.0,73063.0,60864.0,72968.0,58042.0,29023.0,105245.0,185534.0,,,,,,,,,,,,,,,
3,4516175.0,609649.0,1091339.0,1530530.0,802435.0,482222.0,5462011.0,868051.0,857030.0,475855.0,779987.0,617808.0,667694.0,425918.0,172418.0,597250.0,1619346.0,,,,,,,,,,,,,,,
4,1985770.0,286117.0,681486.0,580739.0,280677.0,156751.0,2391724.0,334787.0,421423.0,257083.0,390083.0,287161.0,282282.0,173528.0,64965.0,180412.0,702463.0,,,,,,,,,,,,,,,
5,25950818.0,4543530.0,5345542.0,7608015.0,5291984.0,3161747.0,31419652.0,5379187.0,4672006.0,2862827.0,4074565.0,2982738.0,3151993.0,2335805.0,1062532.0,4897999.0,9092119.0,,,,,,,,,,,,,,,
6,3668477.0,325019.0,791683.0,1105302.0,909794.0,536679.0,4391535.0,494611.0,661652.0,332005.0,557672.0,493004.0,580068.0,415610.0,179943.0,676970.0,1248678.0,,,,,,,,,,,,,,,
7,2480297.0,242500.0,673582.0,611016.0,532055.0,421144.0,2975923.0,347203.0,434863.0,215224.0,362475.0,291791.0,348451.0,280675.0,133918.0,561323.0,760757.0,,,,,,,,,,,,,,,
8,477843.0,46497.0,84119.0,76804.0,113830.0,156593.0,569884.0,64430.0,92481.0,33264.0,49765.0,43885.0,55405.0,51917.0,27421.0,151316.0,117383.0,,,,,,,,,,,,,,,
9,651540.0,69644.0,203135.0,176992.0,117478.0,84291.0,774426.0,99095.0,115125.0,60151.0,99333.0,89359.0,100505.0,73326.0,31630.0,105902.0,203427.0,,,,,,,,,,,,,,,
10,14396066.0,1787348.0,4170468.0,4342392.0,2616384.0,1479474.0,16886151.0,2544652.0,2642621.0,1623848.0,2661012.0,1998470.0,2005811.0,1244031.0,484733.0,1680973.0,4099647.0,,,,,,,,,,,,,,,
11,6693826.0,919657.0,1877212.0,1893426.0,1241995.0,761536.0,8129024.0,1315749.0,1330312.0,721292.0,1132034.0,891464.0,939900.0,643847.0,255966.0,898460.0,2494505.0,,,,,,,,,,,,,,,
12,984320.0,82460.0,273162.0,313348.0,209097.0,106253.0,1161603.0,145537.0,161418.0,83181.0,149786.0,138129.0,162906.0,113879.0,48161.0,158606.0,306057.0,,,,,,,,,,,,,,,
13,1065313.0,103895.0,292202.0,384075.0,194303.0,90838.0,1295350.0,156519.0,241592.0,122156.0,200139.0,159895.0,158632.0,100862.0,37988.0,117567.0,433381.0,,,,,,,,,,,,,,,
14,8666079.0,991424.0,2281524.0,2494547.0,1776326.0,1122258.0,10410424.0,1455849.0,1617052.0,804330.0,1400519.0,1100242.0,1217164.0,913436.0,400245.0,1501587.0,2953528.0,,,,,,,,,,,,,,,
