,B19058_002E,zip code tabulation area
339,808.0,01606
340,899.0,01607
341,704.0,01608
342,1734.0,01609
343,2769.0,01610
344,109.0,01611
345,61.0,01612
346,599.0,01701
347,2712.0,01702
348,0.0,01718
349,37.0,01719
350,467.0,01720
351,272.0,01721
352,230.0,01730
353,24.0,01731
354,27.0,01740
355,20.0,01741
356,130.0,01742
357,0.0,01745
358,205.0,01746
359,80.0,01747
360,169.0,01748
361,591.0,01749
362,1569.0,01752
363,274.0,01754
364,32.0,01756
365,1023.0,01757
366,505.0,01760
367,27.0,01770
368,104.0,01772
369,69.0,01773
370,105.0,01775
371,197.0,01776
372,125.0,01778
373,1238.0,01801
374,477.0,01803
375,504.0,01810
376,562.0,01821
377,237.0,01824
378,950.0,01826
379,15.0,01827
380,1755.0,01830
381,1703.0,01832
382,109.0,01833
383,90.0,01834
384,525.0,01835
385,1325.0,01840
386,6986.0,01841
387,2821.0,01843
388,2451.0,01844
389,648.0,01845
390,1448.0,01850
391,2209.0,01851
392,3334.0,01852
393,2683.0,01854
394,134.0,01860
395,294.0,01862
396,305.0,01863
397,120.0,01864
398,297.0,01867
399,571.0,01876
400,227.0,01879
401,644.0,01880
402,288.0,01886
403,531.0,01887
404,195.0,01890
405,424.0,01901
406,6378.0,01902
407,657.0,01904
408,2304.0,01905
409,1014.0,01906
410,548.0,01907
411,123.0,01908
412,598.0,01913
413,1887.0,01915
414,16.0,01921
415,31.0,01922
416,625.0,01923
417,51.0,01929
418,1375.0,01930
419,0.0,01937
420,326.0,01938
421,164.0,01940
422,107.0,01944
423,316.0,01945
424,213.0,01949
425,510.0,01950
426,12.0,01951
427,441.0,01952
428,2951.0,01960
429,256.0,01966
430,151.0,01969
431,3003.0,01970
432,109.0,01982
433,70.0,01983
434,41.0,01984
435,0.0,01985
436,508.0,02019
437,521.0,02021
438,89.0,02025
439,692.0,02026
440,12.0,02030
441,182.0,02032
442,397.0,02035
443,721.0,02038
444,317.0,02043
445,333.0,02045
446,14.0,02047
447,357.0,02048
448,556.0,02050
