,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state,zip code tabulation area (or part)
5489,"ZCTA5 34236, Florida",12394.0,10761.0,759.0,29.0,145.0,4.0,517.0,179.0,10959.0,59.2,56.9,61.3,6793.0,1.71,1140.0,12,34236
5490,"ZCTA5 34237, Florida",16304.0,12701.0,1366.0,69.0,206.0,12.0,1521.0,429.0,11538.0,38.0,36.1,40.2,6691.0,2.28,3170.0,12,34237
5491,"ZCTA5 34238, Florida",17500.0,16615.0,184.0,36.0,338.0,1.0,142.0,184.0,16694.0,62.4,62.2,62.6,9143.0,1.9,1920.0,12,34238
5492,"ZCTA5 34239, Florida",15038.0,13586.0,315.0,74.0,250.0,5.0,547.0,261.0,13426.0,47.9,46.0,49.6,7070.0,2.09,2577.0,12,34239
5493,"ZCTA5 34240, Florida",11501.0,10867.0,147.0,14.0,257.0,0.0,83.0,133.0,10945.0,47.8,47.8,47.8,4299.0,2.68,2571.0,12,34240
5494,"ZCTA5 34241, Florida",13590.0,12862.0,175.0,15.0,205.0,19.0,130.0,184.0,12813.0,49.2,48.7,49.6,5417.0,2.51,2702.0,12,34241
5495,"ZCTA5 34242, Florida",8865.0,8630.0,29.0,16.0,77.0,1.0,22.0,90.0,8626.0,62.6,62.3,63.0,4710.0,1.88,842.0,12,34242
5496,"ZCTA5 34243, Florida",26115.0,23042.0,1373.0,54.0,646.0,9.0,553.0,438.0,23800.0,50.0,49.3,50.7,11958.0,2.11,3655.0,12,34243
5497,"ZCTA5 34251, Florida",6351.0,5986.0,62.0,14.0,39.0,0.0,179.0,71.0,5249.0,38.8,38.8,38.8,1972.0,2.91,1636.0,12,34251
5498,"ZCTA5 34266, Florida",31055.0,19632.0,4263.0,129.0,164.0,11.0,6056.0,800.0,20877.0,35.6,34.0,37.9,9601.0,2.84,7381.0,12,34266
5499,"ZCTA5 34268, Florida",220.0,45.0,93.0,0.0,0.0,0.0,77.0,5.0,127.0,25.6,25.2,27.8,63.0,3.49,56.0,12,34268
5500,"ZCTA5 34269, Florida",3615.0,3436.0,84.0,8.0,14.0,0.0,45.0,28.0,3461.0,63.1,62.6,63.4,1790.0,2.02,405.0,12,34269
5501,"ZCTA5 34275, Florida",16245.0,15513.0,229.0,39.0,185.0,8.0,78.0,193.0,15823.0,59.3,58.9,59.6,8046.0,2.02,1896.0,12,34275
5502,"ZCTA5 34285, Florida",17599.0,17167.0,85.0,23.0,122.0,3.0,91.0,108.0,17139.0,68.3,67.9,68.6,9928.0,1.73,1027.0,12,34285
5503,"ZCTA5 34286, Florida",17970.0,15571.0,1338.0,52.0,222.0,10.0,373.0,404.0,16199.0,37.4,36.6,38.0,6387.0,2.81,4966.0,12,34286
5504,"ZCTA5 34287, Florida",23859.0,21731.0,1154.0,65.0,209.0,12.0,276.0,412.0,22474.0,56.8,54.1,58.7,11197.0,2.12,3719.0,12,34287
5505,"ZCTA5 34288, Florida",10856.0,9353.0,913.0,21.0,128.0,3.0,193.0,245.0,9752.0,37.7,37.1,38.1,3994.0,2.72,2931.0,12,34288
5506,"ZCTA5 34289, Florida",2199.0,1868.0,157.0,8.0,39.0,3.0,56.0,68.0,1918.0,38.0,36.9,38.5,926.0,2.37,573.0,12,34289
5507,"ZCTA5 34291, Florida",7125.0,6215.0,537.0,16.0,70.0,6.0,114.0,167.0,6512.0,36.9,35.9,37.6,2532.0,2.81,1915.0,12,34291
5508,"ZCTA5 34292, Florida",13516.0,13069.0,112.0,13.0,130.0,1.0,83.0,108.0,13172.0,65.7,66.0,65.6,6990.0,1.9,1207.0,12,34292
5509,"ZCTA5 34293, Florida",33001.0,31764.0,207.0,54.0,360.0,8.0,273.0,335.0,31890.0,57.4,56.2,58.4,15778.0,2.09,4313.0,12,34293
5510,"ZCTA5 34420, Florida",16287.0,14501.0,786.0,70.0,148.0,11.0,409.0,362.0,14771.0,42.6,41.0,44.2,6648.0,2.44,3631.0,12,34420
5511,"ZCTA5 34428, Florida",9109.0,8482.0,293.0,31.0,84.0,0.0,72.0,147.0,8741.0,49.7,49.0,50.2,4047.0,2.25,1653.0,12,34428
5512,"ZCTA5 34432, Florida",12273.0,11177.0,549.0,30.0,91.0,1.0,220.0,205.0,11266.0,56.6,55.2,57.6,5449.0,2.22,1833.0,12,34432
5513,"ZCTA5 34429, Florida",8563.0,7911.0,335.0,22.0,135.0,4.0,52.0,104.0,8310.0,55.5,54.5,56.2,3968.0,2.09,1214.0,12,34429
5514,"ZCTA5 34431, Florida",7815.0,7229.0,245.0,16.0,61.0,1.0,135.0,128.0,7179.0,52.5,51.5,53.4,3457.0,2.26,1285.0,12,34431
5515,"ZCTA5 31535, Georgia",11264.0,8070.0,2123.0,43.0,51.0,0.0,824.0,153.0,9976.0,33.6,32.8,34.5,4009.0,2.81,3284.0,13,31535
5516,"ZCTA5 31537, Georgia",10097.0,6373.0,3437.0,28.0,58.0,3.0,22.0,176.0,9836.0,37.8,36.5,40.1,3131.0,2.65,2141.0,13,31537
5517,"ZCTA5 31539, Georgia",14468.0,10906.0,2152.0,34.0,69.0,0.0,1139.0,168.0,12852.0,35.6,34.5,36.8,5456.0,2.63,4034.0,13,31539
5518,"ZCTA5 31542, Georgia",2811.0,2675.0,61.0,3.0,12.0,0.0,19.0,41.0,2758.0,38.5,37.6,39.3,1058.0,2.66,743.0,13,31542
5519,"ZCTA5 31543, Georgia",4796.0,4631.0,38.0,26.0,8.0,1.0,21.0,71.0,4711.0,38.3,37.1,39.4,1762.0,2.72,1246.0,13,31543
5520,"ZCTA5 31544, Georgia",994.0,685.0,259.0,0.0,0.0,0.0,42.0,8.0,929.0,40.4,39.7,41.1,417.0,2.38,234.0,13,31544
5521,"ZCTA5 31545, Georgia",16133.0,12018.0,3285.0,42.0,69.0,2.0,375.0,342.0,15339.0,36.3,34.6,37.8,6009.0,2.63,4352.0,13,31545
5522,"ZCTA5 31546, Georgia",8095.0,5386.0,2201.0,51.0,77.0,2.0,190.0,188.0,7363.0,38.6,38.3,39.7,2351.0,2.61,1603.0,13,31546
5523,"ZCTA5 31547, Georgia",1293.0,1043.0,143.0,9.0,21.0,1.0,26.0,50.0,1158.0,21.5,21.5,21.1,59.0,3.95,121.0,13,31547
5524,"ZCTA5 31548, Georgia",20020.0,14445.0,4202.0,92.0,399.0,42.0,199.0,641.0,19022.0,30.6,29.5,32.0,7251.0,2.76,5912.0,13,31548
5525,"ZCTA5 31549, Georgia",2239.0,1296.0,889.0,1.0,0.0,0.0,34.0,19.0,2183.0,42.9,41.8,44.3,887.0,2.44,550.0,13,31549
5526,"ZCTA5 31550, Georgia",780.0,674.0,33.0,1.0,0.0,1.0,58.0,13.0,710.0,40.6,38.6,42.4,302.0,2.58,186.0,13,31550
5527,"ZCTA5 31551, Georgia",1020.0,912.0,66.0,2.0,2.0,0.0,21.0,17.0,919.0,37.0,37.6,35.7,384.0,2.66,262.0,13,31551
5528,"ZCTA5 31552, Georgia",932.0,885.0,14.0,2.0,3.0,1.0,15.0,12.0,901.0,42.8,42.2,43.1,367.0,2.54,204.0,13,31552
5529,"ZCTA5 31553, Georgia",5237.0,4883.0,243.0,7.0,5.0,0.0,25.0,74.0,5169.0,37.4,36.0,38.4,1965.0,2.63,1385.0,13,31553
5530,"ZCTA5 31554, Georgia",7076.0,4922.0,1835.0,9.0,5.0,0.0,237.0,68.0,6613.0,35.7,35.2,36.8,1955.0,2.65,1405.0,13,31554
5531,"ZCTA5 31555, Georgia",2868.0,2591.0,164.0,19.0,12.0,2.0,42.0,38.0,2778.0,39.0,38.6,39.3,1074.0,2.67,739.0,13,31555
5532,"ZCTA5 31556, Georgia",67.0,53.0,0.0,0.0,0.0,0.0,7.0,7.0,54.0,29.5,35.0,25.5,22.0,3.05,23.0,13,31556
5533,"ZCTA5 31557, Georgia",3043.0,2647.0,274.0,10.0,12.0,0.0,72.0,28.0,2908.0,39.1,38.4,40.1,1151.0,2.64,794.0,13,31557
5534,"ZCTA5 31558, Georgia",20373.0,15474.0,3475.0,100.0,276.0,22.0,317.0,709.0,19081.0,30.4,29.0,32.1,7411.0,2.66,5580.0,13,31558
5535,"ZCTA5 31560, Georgia",2842.0,2392.0,358.0,15.0,3.0,0.0,39.0,35.0,2748.0,38.2,37.7,38.9,1069.0,2.66,723.0,13,31560
5536,"ZCTA5 31561, Georgia",298.0,295.0,0.0,0.0,1.0,0.0,0.0,2.0,296.0,67.7,68.2,67.3,158.0,1.89,17.0,13,31561
5537,"ZCTA5 31562, Georgia",2177.0,2064.0,41.0,17.0,19.0,0.0,18.0,18.0,2129.0,40.1,40.5,39.8,834.0,2.61,525.0,13,31562
5538,"ZCTA5 31563, Georgia",1324.0,1026.0,245.0,12.0,4.0,0.0,26.0,11.0,1273.0,42.9,41.7,44.1,545.0,2.43,293.0,13,31563
5539,"ZCTA5 31565, Georgia",1841.0,1445.0,369.0,5.0,6.0,0.0,2.0,14.0,1819.0,44.6,43.3,45.4,750.0,2.45,367.0,13,31565
5540,"ZCTA5 31566, Georgia",3471.0,3171.0,193.0,12.0,5.0,1.0,30.0,59.0,3406.0,36.7,36.3,37.1,1287.0,2.7,978.0,13,31566
5541,"ZCTA5 31567, Georgia",782.0,736.0,30.0,0.0,1.0,0.0,7.0,8.0,765.0,40.6,39.3,41.2,294.0,2.66,200.0,13,31567
5542,"ZCTA5 31568, Georgia",1273.0,937.0,311.0,9.0,3.0,0.0,7.0,6.0,1246.0,42.7,43.4,42.2,486.0,2.62,278.0,13,31568
5543,"ZCTA5 31569, Georgia",5580.0,4098.0,1285.0,44.0,18.0,11.0,15.0,109.0,5464.0,39.1,37.9,40.0,2038.0,2.65,1364.0,13,31569
5544,"ZCTA5 31601, Georgia",32730.0,12306.0,18608.0,88.0,148.0,44.0,936.0,600.0,30787.0,28.6,27.9,29.4,11705.0,2.66,8635.0,13,31601
5545,"ZCTA5 31602, Georgia",34702.0,20984.0,11813.0,160.0,696.0,42.0,364.0,643.0,33500.0,30.6,29.7,31.7,13602.0,2.41,7500.0,13,31602
5546,"ZCTA5 31605, Georgia",20188.0,13394.0,5017.0,99.0,559.0,24.0,402.0,693.0,18968.0,29.8,29.1,30.6,7549.0,2.67,5577.0,13,31605
5547,"ZCTA5 31606, Georgia",3861.0,3194.0,492.0,13.0,7.0,9.0,75.0,71.0,3684.0,38.9,38.0,39.8,1427.0,2.7,1015.0,13,31606
5548,"ZCTA5 31620, Georgia",10690.0,7069.0,2992.0,22.0,71.0,2.0,387.0,147.0,10043.0,35.9,35.1,36.9,3944.0,2.68,2931.0,13,31620
5549,"ZCTA5 31622, Georgia",2178.0,1670.0,462.0,4.0,2.0,0.0,26.0,14.0,2130.0,38.7,38.3,39.3,885.0,2.46,539.0,13,31622
5550,"ZCTA5 31623, Georgia",120.0,60.0,52.0,0.0,0.0,0.0,6.0,2.0,114.0,33.5,35.5,33.3,37.0,3.24,42.0,13,31623
5551,"ZCTA5 31624, Georgia",1273.0,1025.0,45.0,13.0,10.0,0.0,171.0,9.0,1057.0,36.0,35.6,36.3,454.0,2.8,339.0,13,31624
5552,"ZCTA5 31625, Georgia",1171.0,874.0,254.0,5.0,1.0,0.0,21.0,16.0,1119.0,46.0,43.4,48.0,482.0,2.43,236.0,13,31625
5553,"ZCTA5 31626, Georgia",3463.0,1867.0,1514.0,14.0,4.0,1.0,44.0,19.0,3382.0,42.8,42.3,43.2,1395.0,2.47,808.0,13,31626
5554,"ZCTA5 31631, Georgia",559.0,454.0,68.0,17.0,0.0,0.0,6.0,14.0,541.0,43.1,38.3,45.0,216.0,2.59,132.0,13,31631
