,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state,zip code tabulation area (or part)
458,"ZCTA5 35490, Alabama",3857.0,3502.0,254.0,7.0,9.0,0.0,41.0,44.0,3748.0,33.8,34.3,33.3,1395.0,2.76,1061.0,01,35490
459,"ZCTA5 35501, Alabama",10424.0,7999.0,1827.0,33.0,33.0,10.0,338.0,184.0,9873.0,39.9,37.6,42.5,4158.0,2.39,2296.0,01,35501
460,"ZCTA5 35503, Alabama",9068.0,8806.0,67.0,29.0,41.0,4.0,36.0,85.0,8929.0,41.3,39.8,43.0,3560.0,2.55,2102.0,01,35503
461,"ZCTA5 35504, Alabama",13596.0,12936.0,236.0,55.0,71.0,20.0,151.0,127.0,13286.0,41.8,40.6,43.2,5388.0,2.49,3042.0,01,35504
462,"ZCTA5 36274, Alabama",11199.0,7842.0,3148.0,35.0,37.0,2.0,36.0,99.0,11069.0,39.4,37.8,40.7,4481.0,2.46,2844.0,01,36274
463,"ZCTA5 36276, Alabama",2592.0,1882.0,592.0,6.0,0.0,1.0,73.0,38.0,2492.0,37.9,36.8,38.8,964.0,2.49,571.0,01,36276
464,"ZCTA5 36277, Alabama",5420.0,4520.0,657.0,32.0,46.0,10.0,30.0,125.0,5281.0,36.4,34.5,37.9,2087.0,2.6,1425.0,01,36277
465,"ZCTA5 36278, Alabama",4366.0,3337.0,812.0,18.0,11.0,1.0,141.0,46.0,4114.0,45.3,44.0,46.6,1819.0,2.37,923.0,01,36278
466,"ZCTA5 36279, Alabama",2645.0,2488.0,77.0,7.0,8.0,0.0,6.0,59.0,2624.0,41.2,40.4,42.3,1022.0,2.59,611.0,01,36279
467,"ZCTA5 36280, Alabama",3932.0,3554.0,223.0,12.0,6.0,1.0,83.0,53.0,3827.0,42.8,42.3,43.6,1593.0,2.47,933.0,01,36280
468,"ZCTA5 36301, Alabama",35759.0,24328.0,9808.0,162.0,205.0,17.0,589.0,650.0,34508.0,37.2,35.3,38.8,14494.0,2.44,9080.0,01,36301
469,"ZCTA5 36303, Alabama",30217.0,16703.0,12201.0,104.0,303.0,18.0,354.0,534.0,29335.0,38.1,36.9,39.1,12158.0,2.42,7441.0,01,36303
470,"ZCTA5 36312, Alabama",6187.0,5319.0,752.0,27.0,11.0,3.0,20.0,55.0,6129.0,41.8,40.8,43.0,2487.0,2.49,1400.0,01,36312
471,"ZCTA5 36305, Alabama",14470.0,12549.0,1262.0,31.0,256.0,10.0,128.0,234.0,14014.0,38.4,37.5,39.2,5901.0,2.42,3467.0,01,36305
472,"ZCTA5 36310, Alabama",6783.0,4314.0,2266.0,22.0,28.0,1.0,87.0,65.0,6628.0,46.2,44.3,48.1,2824.0,2.34,1393.0,01,36310
473,"ZCTA5 36311, Alabama",2770.0,2321.0,354.0,18.0,9.0,1.0,19.0,48.0,2670.0,41.6,40.8,42.6,1102.0,2.51,642.0,01,36311
474,"ZCTA5 36313, Alabama",285.0,168.0,83.0,11.0,5.0,0.0,9.0,9.0,271.0,44.6,41.0,48.5,126.0,2.26,62.0,01,36313
475,"ZCTA5 36314, Alabama",595.0,563.0,16.0,2.0,2.0,0.0,8.0,4.0,587.0,42.2,42.4,41.8,244.0,2.44,129.0,01,36314
476,"ZCTA5 36316, Alabama",1722.0,1538.0,137.0,8.0,6.0,3.0,7.0,23.0,1703.0,43.7,43.3,44.0,714.0,2.41,362.0,01,36316
477,"ZCTA5 36317, Alabama",590.0,306.0,279.0,1.0,0.0,0.0,1.0,3.0,582.0,44.3,42.1,46.0,232.0,2.54,118.0,01,36317
478,"ZCTA5 36318, Alabama",1296.0,1218.0,42.0,8.0,1.0,0.0,3.0,24.0,1286.0,45.6,46.3,44.6,547.0,2.37,246.0,01,36318
479,"ZCTA5 36319, Alabama",2276.0,1916.0,312.0,9.0,2.0,2.0,8.0,27.0,2248.0,44.5,42.6,46.1,952.0,2.39,516.0,01,36319
480,"ZCTA5 36320, Alabama",3837.0,3240.0,490.0,32.0,5.0,0.0,13.0,57.0,3794.0,42.2,41.6,42.8,1566.0,2.44,869.0,01,36320
481,"ZCTA5 36321, Alabama",1632.0,1381.0,186.0,13.0,2.0,0.0,6.0,44.0,1616.0,39.6,38.5,40.4,630.0,2.59,403.0,01,36321
482,"ZCTA5 36322, Alabama",9072.0,6501.0,1686.0,92.0,168.0,17.0,244.0,364.0,8176.0,36.6,35.1,38.0,3886.0,2.33,2159.0,01,36322
483,"ZCTA5 36323, Alabama",8255.0,5996.0,1877.0,141.0,18.0,6.0,57.0,160.0,8147.0,42.1,40.4,44.1,3319.0,2.39,1834.0,01,36323
484,"ZCTA5 36330, Alabama",35530.0,25379.0,6330.0,250.0,667.0,97.0,1763.0,1044.0,32167.0,34.9,32.7,37.0,14001.0,2.52,8938.0,01,36330
485,"ZCTA5 36340, Alabama",5490.0,4657.0,678.0,19.0,21.0,1.0,33.0,81.0,5385.0,42.6,40.3,45.0,2239.0,2.39,1197.0,01,36340
486,"ZCTA5 36346, Alabama",1456.0,1366.0,13.0,35.0,0.0,0.0,2.0,40.0,1445.0,40.8,41.7,40.4,586.0,2.48,349.0,01,36346
487,"ZCTA5 36343, Alabama",1579.0,975.0,564.0,14.0,1.0,0.0,10.0,15.0,1553.0,45.4,44.8,45.8,667.0,2.37,328.0,01,36343
488,"ZCTA5 36344, Alabama",5732.0,4976.0,551.0,36.0,7.0,1.0,62.0,99.0,5572.0,42.5,41.2,43.8,2332.0,2.42,1265.0,01,36344
489,"ZCTA5 36345, Alabama",7822.0,5816.0,1800.0,27.0,21.0,0.0,77.0,81.0,7666.0,39.6,38.8,40.5,3085.0,2.53,1921.0,01,36345
490,"ZCTA5 36350, Alabama",6540.0,5076.0,1089.0,34.0,60.0,1.0,82.0,198.0,6360.0,35.5,34.9,36.1,2604.0,2.51,1702.0,01,36350
491,"ZCTA5 36351, Alabama",3146.0,2613.0,305.0,119.0,24.0,0.0,17.0,68.0,3080.0,42.8,40.7,44.3,1274.0,2.47,689.0,01,36351
