,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,county,state
1692,483,14,182,176,89,22,553,31,131,66,96,70,62,48,4,45,154,75,31
1693,1697,117,616,670,205,89,1963,149,390,194,314,240,286,201,45,144,584,77,31
1694,39161,6301,12203,12906,5391,2360,47215,3978,7077,3861,8074,7514,7157,4275,1521,3758,16618,79,31
1695,698,81,171,326,101,19,789,73,135,59,161,93,129,73,13,53,193,85,31
1696,10819,952,4136,3412,1691,628,12742,934,1849,890,2238,1785,2114,1281,447,1204,3799,131,31
1697,7352,434,2492,3049,928,449,8835,569,1620,1061,1609,1210,1063,816,188,699,2501,145,31
1698,5785,381,2169,2168,769,298,6776,335,1150,653,941,970,1114,735,242,636,2148,27,31
1699,5404,262,1426,1719,1152,845,7634,610,2197,431,1147,909,922,616,174,628,1631,45,31
1700,3745,461,1557,1079,451,197,4421,693,1033,350,660,429,596,276,133,251,978,97,31
1701,6914,350,1892,2856,1422,394,8058,472,1207,687,1102,1015,1311,790,404,1070,2387,33,31
1702,15275,3603,4979,4278,1687,728,18436,1739,3041,1675,3122,2858,2628,1466,600,1307,6609,47,31
1703,1409,55,485,594,197,78,1654,73,297,216,304,229,253,153,16,113,386,71,31
1704,322,32,71,138,63,18,345,34,43,34,46,31,69,41,23,24,97,117,31
1705,2517,233,925,898,256,205,2910,220,447,277,604,360,486,229,69,218,815,125,31
1706,1983,196,858,613,235,81,2247,183,418,273,395,258,321,161,52,186,561,133,31
1707,4043,323,1363,1644,552,161,4704,268,880,503,576,655,811,392,164,455,1569,167,31
1708,3059,222,1185,1030,473,149,3490,154,588,497,596,468,514,323,102,248,918,175,31
1709,650,34,266,226,87,37,725,37,115,66,114,108,143,79,22,41,154,183,31
1710,2498,225,818,988,377,90,2826,187,533,289,436,363,467,259,101,191,772,83,31
1711,9379,567,2760,3419,1843,790,11226,705,2047,1036,1866,1239,1719,1092,401,1121,3105,185,31
1712,356,4,133,133,51,35,413,26,68,27,66,50,73,54,0,49,106,9,31
1713,29817,1841,7566,10392,6777,3241,39244,2074,7811,4069,5753,5071,5318,4212,1222,3714,11233,19,31
1714,6504,1870,2044,1651,604,335,7894,1008,1051,611,1207,1466,1077,741,267,466,3201,37,31
1715,1365,135,450,533,166,81,1582,76,284,137,348,189,217,136,46,149,371,49,31
1716,2052,147,782,765,216,142,2320,118,481,294,359,316,332,174,64,182,641,87,31
1717,600,45,166,253,119,17,711,78,120,56,130,75,93,59,36,64,264,113,31
1718,21469,2413,6797,7643,3184,1432,25717,1919,3758,2369,3690,4121,4218,2661,813,2168,8519,141,31
1719,3633,238,1183,1454,566,192,4261,248,793,296,606,525,665,457,231,440,1218,143,31
1720,3708,296,1354,1292,565,201,4224,301,624,397,747,641,590,398,127,399,1097,169,31
1721,7514,622,2601,2984,963,344,8831,849,1450,700,1083,1077,1330,950,479,913,2860,13,31
1722,2302,177,935,772,287,131,2524,133,434,305,417,400,369,214,70,182,632,17,31
1723,20397,2047,6048,7504,2989,1809,25311,1611,5327,1958,4074,3517,3327,2617,895,1985,7470,1,31
1724,3751,348,1202,1235,694,272,4310,378,807,538,682,538,580,331,109,347,1172,161,31
1725,189221,12594,42128,62860,45943,25696,246524,19848,45132,21247,33106,31424,35788,23710,9886,26383,70246,109,31
1726,3709,229,1328,1417,533,202,4325,355,608,478,676,568,603,453,188,396,1243,11,31
1727,3167,218,1314,1029,383,223,3605,183,611,433,772,530,486,330,82,178,861,129,31
1728,1010,64,398,357,146,45,1188,71,185,137,162,153,183,114,58,125,230,149,31
1729,517,22,169,236,62,28,591,47,119,49,99,72,88,49,18,50,172,7,31
1730,1789,69,594,777,223,126,2199,170,426,168,332,350,320,225,74,134,535,63,31
1731,2213,164,843,802,280,124,2514,198,399,210,481,351,383,247,82,163,647,163,31
1732,356837,36680,76956,107819,88266,47116,429902,44625,64371,33513,57683,52818,62012,41270,16879,56731,140853,55,31
