,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,county,state
0,14794,2513,6910,3528,1079,764,17655,4683,3349,2055,2343,1766,1417,898,265,879,5071,99,1
1,23370,5136,9546,6308,1671,709,27280,4636,4966,2865,3941,2662,3510,2164,647,1889,7242,79,1
2,92452,9303,22660,28267,18261,13961,128522,18558,28448,11634,15831,12696,15387,10654,3608,11706,33809,81,1
3,21406,4134,7563,6831,1784,1094,24920,3122,4584,3469,5053,2685,2669,1494,530,1314,6351,93,1
4,14241,2870,5384,4308,1248,431,16783,2468,3792,2057,3048,1645,1663,877,400,833,4186,107,1
5,8244,1429,3276,2037,872,630,10969,2591,2921,1300,1574,794,816,509,148,316,2579,119,1
6,447048,47558,119622,137189,86862,55817,532449,69214,93602,49911,77253,57565,63177,45595,17375,58757,151907,73,1
7,9449,1881,3766,2702,745,355,11010,1494,2487,1665,1752,968,1162,601,217,664,2705,23,1
8,20734,4903,7767,5286,1722,1056,25131,4200,4761,2837,4451,2973,2721,1497,538,1153,7772,59,1
9,13557,2279,5375,3814,1315,774,16029,2503,3602,1896,2431,1685,1327,988,321,1276,4534,91,1
10,38710,6618,12536,13020,4092,2444,46137,6967,8823,4763,7178,5234,5359,3814,1380,2619,14604,113,1
11,18797,3850,7179,5424,1237,1107,21691,2768,4057,2573,3832,2649,2637,1534,384,1257,5198,19,1
12,26416,4743,9397,8177,2740,1359,30711,4529,5404,3637,5035,3994,3168,2102,749,2093,8258,39,1
13,9588,1981,3625,2420,1143,419,11275,1488,2207,1341,1969,1312,1407,656,263,632,3134,41,1
14,26849,5025,9822,8193,2181,1628,32532,5263,7429,4161,5589,3309,3224,1392,573,1592,10032,47,1
15,63168,8934,22269,17735,8710,5520,77289,9449,14335,8259,12260,9446,9921,5509,2241,5869,18706,77,1
16,7065,1698,2549,1847,671,300,8392,1159,2217,1027,1297,894,868,469,151,310,2378,85,1
17,12280,2258,3968,3588,1332,1134,16529,2144,4816,1866,2461,1697,1607,899,399,640,3450,87,1
18,63026,10242,19353,17937,10410,5084,74429,13102,12550,6882,9423,8334,8591,5405,1977,8165,21211,83,1
19,141263,11226,29544,40834,39369,20290,167333,20576,24656,12338,19889,16700,19885,17082,7653,28554,50418,117,1
20,60248,9533,21794,19278,6366,3277,70342,10931,10922,6216,10768,7879,8460,6695,2861,5610,20046,115,1
21,17255,3929,6242,4854,1354,876,19836,2408,4168,2805,3472,2535,2003,1268,344,833,5025,133,1
22,143022,13997,39771,45286,29237,14731,166364,20201,25080,16030,26852,20222,21502,13466,5057,17954,44892,3,1
23,56720,10147,20338,17778,5409,3048,66508,12443,10854,6672,11007,7438,7644,4708,1658,4084,18304,43,1
24,55278,7531,18829,16289,7983,4646,65982,10704,11796,5836,7915,7454,7655,5924,2473,6225,18251,51,1
25,71238,10455,22694,23186,9418,5485,83891,11726,15058,9596,13624,9528,9839,5594,2185,6741,24486,69,1
26,37016,6893,15080,10087,3192,1764,43138,7549,7309,4818,7558,5379,4631,2621,876,2397,11260,71,1
27,56103,10939,19706,17852,4620,2986,66462,9862,13189,7641,11507,6748,7743,4285,1571,3916,17390,121,1
28,125145,14807,36791,35722,23230,14595,168608,23723,35019,16026,24017,18942,19285,12917,4377,14302,42732,125,1
29,11607,2038,5200,3131,785,453,13695,2278,2819,1581,2085,1498,1207,846,423,958,3822,129,1
30,9455,2525,3188,2772,562,408,11066,1323,2268,1549,1887,1315,1134,686,283,621,2857,27,1
31,34736,5075,10190,11594,5111,2766,41118,5609,7211,3892,6502,4844,4371,3054,1289,4346,12119,31,1
32,82094,14330,24521,26101,11822,5320,96596,13851,16372,10340,15946,10907,10669,7370,2482,8659,27422,103,1
33,19657,3725,6493,4579,2930,1930,27818,5037,6622,2400,4392,2934,2784,1472,539,1638,6522,109,1
34,29697,5391,12902,6920,2809,1675,35065,5918,6322,3451,5085,4323,3936,2575,757,2698,10549,21,1
35,38423,6181,12958,12077,4403,2804,44836,5637,7851,5062,7826,4944,5655,3676,1409,2776,11702,33,1
36,8117,1887,3123,2215,611,281,9422,1176,1773,1568,1783,1103,1024,493,56,446,1905,37,1
37,33288,4673,10839,12189,3688,1899,39778,5729,7604,4107,6350,4090,4685,2924,1138,3151,11596,45,1
38,10161,1925,4343,2429,1008,456,12177,1913,2630,1681,1844,1287,1144,727,269,682,3490,65,1
39,71745,12156,23315,24155,7435,4684,84773,11586,15624,9960,14645,9756,9539,6664,2011,4988,22417,55,1
40,47694,12571,16211,12710,3638,2564,56732,9415,10991,6685,9941,6570,5640,3548,1413,2529,17537,49,1
41,25896,4927,11346,6477,1956,1190,30647,7941,4935,3977,4407,2908,2742,1705,601,1431,8382,53,1
42,9938,2034,3736,2851,880,437,11518,1616,2183,1643,1840,1172,1419,905,292,448,3088,75,1
43,15594,3344,5717,4264,1415,854,18493,2924,3051,2291,3354,2345,2403,1103,319,703,4937,111,1
44,13958,2645,5637,3423,1342,911,16368,2574,3237,2036,3021,1873,1630,870,396,731,4570,13,1
45,275878,37870,89951,84512,42066,21479,332515,54555,56919,33088,51740,35791,37806,25193,9962,27461,98648,97,1
46,8772,1842,4208,1954,458,310,10339,1963,2036,1734,1834,850,974,528,168,252,2774,35,1
47,5858,1171,2458,1238,512,479,7909,1889,1940,987,1421,686,526,197,50,213,2151,105,1
48,45197,9019,16881,14287,3014,1996,53033,7804,10164,6753,8834,6037,5716,3489,1239,2997,14442,127,1
49,10387,2512,3887,2705,807,476,12070,1511,2560,1441,2235,1210,1356,756,327,674,3458,29,1
50,5830,1365,2156,1646,486,177,6892,1373,1708,1072,1105,536,577,283,68,170,1999,63,1
51,18434,4960,6549,4707,1403,815,21627,3968,5090,2762,3419,1982,1820,1150,417,1019,5514,5,1
52,15859,2833,6958,3971,1289,808,18743,4170,3268,1835,2926,2036,1860,1044,651,953,4686,7,1
53,7377,2113,2699,1575,485,505,8684,1185,2075,1175,1184,976,842,513,261,473,2166,11,1
54,78975,13254,25440,26168,8092,6021,94767,12430,17540,11072,15252,11161,10474,7834,2621,6383,25303,15,1
55,23698,4537,9109,6894,2131,1027,27895,3618,4790,3729,5369,3447,3307,1519,776,1340,7256,17,1
56,16921,3136,7503,4089,1422,771,20199,4732,4020,2174,2583,1718,1915,1048,527,1482,5509,25,1
57,11715,2385,4444,3174,1178,534,13780,1674,2882,1892,2334,1524,1585,924,309,656,3598,57,1
58,149318,21382,38205,41568,28898,19265,182019,24755,35288,16682,25346,20048,21790,14333,5465,18312,53705,101,1
59,63248,12661,19782,19593,7353,3859,75215,11226,13746,8810,12960,8300,8815,4749,1455,5154,23543,95,1
60,39475,7980,12740,13583,3416,1756,46501,10165,6561,4115,6956,5184,5639,3549,1642,2690,13565,9,1
61,12123,2348,4105,3596,1087,987,14188,1899,2464,1704,2566,1573,1602,918,420,1042,3564,67,1
62,239756,22014,50525,69895,60410,36912,288412,40305,43660,25082,35827,29112,31889,24092,10315,48130,78787,89,1
63,36757,4521,12363,10697,5316,3860,44109,6377,6955,4235,6000,4825,5727,3352,1340,5298,13509,1,1
64,28609,5486,9728,8185,3474,1736,33625,5227,5342,3999,5488,4559,3760,2511,880,1859,8666,123,1
65,18666,3920,6655,6015,1407,669,21766,3067,3954,2627,3932,2390,2575,1616,567,1038,5899,61,1
66,7242,1511,3130,1733,578,290,8775,2007,1952,927,1572,821,759,323,59,355,2701,131,1
67,8968,1030,2596,3183,1374,785,10725,513,1814,833,1788,1213,1264,1052,688,1560,3608,150,2
68,1590,20,454,409,483,224,2042,23,568,152,294,210,287,134,64,310,313,68,2
69,6392,265,1789,2251,1475,612,7554,306,1469,647,995,567,633,700,461,1776,2227,261,2
70,39960,2977,12452,14884,6139,3508,46998,2764,9807,4053,6148,4553,5324,4684,1807,7858,13291,122,2
71,4147,485,1622,1369,517,154,4934,248,651,308,933,658,624,482,194,836,947,16,2
72,650,48,227,243,99,33,751,9,117,44,78,89,120,75,47,172,209,60,2
73,4095,789,1902,963,292,149,5425,154,2021,385,692,465,484,343,178,703,2690,188,2
74,9578,1896,4281,2196,748,457,12574,326,4923,1329,1553,1061,1144,645,371,1222,6324,50,2
75,6490,756,2594,2145,707,288,7665,74,1173,473,865,670,668,663,461,2618,2456,185,2
76,6168,399,1635,2104,1210,820,7170,271,1106,409,897,830,1155,897,397,1208,1951,220,2
77,61853,3349,13420,24613,12885,7586,79252,4783,13484,4785,9844,8398,10636,8080,4161,15081,24076,90,2
78,9514,769,2888,3562,1534,761,11217,523,1862,968,1611,1262,1591,1132,525,1743,3058,130,2
79,64554,5112,20746,25430,8812,4454,78166,5939,17512,6267,9546,7202,8278,7162,3235,13025,27482,170,2
80,480,39,195,152,81,13,552,12,78,29,124,37,83,88,27,74,149,282,2
81,5443,821,2370,1492,534,226,6991,195,2327,622,1043,761,606,504,225,708,3393,180,2
82,2876,391,1112,874,285,214,3671,34,1092,351,582,374,334,323,137,444,1530,70,2
83,1867,63,531,625,403,245,2118,19,369,221,262,217,268,311,117,334,500,100,2
84,22346,893,4583,7872,5832,3166,26607,883,3869,1689,2431,2776,4165,3214,1893,5687,7028,110,2
85,789,97,356,210,66,60,1003,14,287,107,187,85,115,93,28,87,365,164,2
86,4473,380,1482,1738,449,424,5325,132,1380,369,726,421,623,561,159,954,1835,240,2
87,3450,528,1437,1056,255,174,4186,70,1369,497,671,435,394,302,124,324,1522,290,2
88,192310,12747,45685,67389,42216,24273,236150,12582,38977,14010,28293,26106,31838,24939,12886,46519,73663,20,2
89,2555,364,1063,835,196,97,2986,32,496,296,556,492,423,289,137,265,446,13,2
90,4455,446,1683,1578,478,270,5195,73,1383,567,795,596,571,480,194,536,1537,198,2
91,1857,205,680,611,239,122,2090,28,442,181,362,253,271,213,143,197,481,275,2
92,1651,160,616,514,248,113,1845,18,355,209,292,215,278,114,87,277,350,105,2
93,829,63,194,305,203,64,928,11,88,63,133,155,148,131,75,124,136,230,2
94,2179,228,652,722,429,148,2639,59,491,168,500,326,288,254,137,416,738,195,2
95,3923,857,2048,826,119,73,5394,105,2554,652,862,437,355,177,65,187,3229,158,2
96,666989,78894,149838,227377,121598,89282,826383,115592,144455,78714,128561,92334,97426,61637,24251,83413,217245,19,4
97,2730613,352327,621894,897620,546841,311931,3298214,521562,467709,264846,445340,375353,419209,273620,113920,416655,1029584,13,4
98,38632,5807,10608,14876,4513,2828,44062,6762,8161,4617,7572,5243,4540,2897,1357,2913,10812,7,4
99,23350,3305,7320,9428,2120,1177,29112,8004,5100,2328,3565,2614,3304,1675,773,1749,10320,9,4
100,28877,7111,7625,7746,4380,2015,35738,8497,6778,3598,5040,3774,3481,1777,603,2190,12939,23,4
101,87509,11307,20109,35417,12916,7760,103124,14518,19122,11308,15699,10918,10646,7862,2817,10234,27976,3,4
102,15536,3536,5747,4507,1145,601,17559,1762,3578,2311,3879,1843,1904,1060,329,893,3398,12,4
103,153930,23576,54726,56652,12194,6782,174184,23252,30420,20147,33114,22100,19809,10784,3758,10800,37251,15,4
104,43766,9370,14425,14951,3340,1680,54926,17737,11161,4751,6346,4525,5160,2391,1163,1692,20306,1,4
105,80822,8356,17246,26598,16933,11689,114041,16377,27191,9403,14056,11685,13920,7560,3081,10768,29560,5,4
106,168134,16458,43494,66114,24698,17370,189802,20628,32029,21955,32046,23277,23346,15683,5598,15240,37852,25,4
107,127583,36182,33138,39968,11782,6513,160012,29069,29286,16449,26247,18634,17528,9146,3366,10287,52939,27,4
108,5834,603,2161,2363,560,147,7204,1519,903,643,937,732,778,669,297,726,2639,11,4
109,68236,11886,20483,25318,6428,4121,83248,19026,18471,8108,11135,7725,7803,4398,1734,4848,29757,17,4
110,276364,40931,82525,101595,32987,18326,324402,63746,52666,26677,46450,37051,38840,24759,9371,24842,96768,21,4
111,50686,7824,19462,12860,6153,4387,63235,8606,12867,7270,9064,7303,7634,4714,1485,4292,18528,145,5
112,5855,834,2619,1405,676,321,6866,1032,1292,805,1313,699,956,401,161,207,1936,99,5
113,18484,3930,7285,5510,998,761,21787,5279,4326,2457,3572,2123,1819,1241,306,664,5894,123,5
114,264775,25500,70093,80034,55304,33844,315010,40665,49512,29266,46880,36731,41067,25622,10981,34286,92439,119,5
115,10667,2289,4412,2829,725,412,12487,1446,2622,2114,2025,1639,1302,727,210,402,3357,21,5
116,11552,2267,5037,2659,905,684,13778,1935,2447,1511,2577,1925,1182,958,351,892,4152,37,5
117,5331,899,2258,1422,569,183,6235,753,1102,951,1278,916,666,242,209,118,1346,39,5
118,11647,1956,4440,3101,1399,751,15253,2408,3744,1767,2065,1550,1533,1097,211,878,3967,43,5
119,14863,2253,6009,3411,1997,1193,19833,2869,4722,2277,2872,2111,2021,1211,597,1153,4979,27,5
120,12164,2132,4415,3856,1182,579,14236,1821,2834,2169,2522,1572,1625,819,186,688,3905,121,5
121,80044,7904,25702,26005,13140,7293,93392,9601,12451,8185,14639,11921,13664,9749,3856,9326,27614,125,5
122,12321,1869,5607,3256,946,643,14002,1745,2940,1868,2499,1816,1321,716,408,689,3340,141,5
123,25897,3826,8401,9467,2721,1482,30242,2912,6435,3916,5104,3991,3510,2034,849,1491,8377,9,5
124,10150,1740,3842,3261,874,433,11545,1703,2275,1371,2181,1653,1093,645,145,479,2435,65,5
125,25097,3736,9431,7408,2861,1661,29733,3501,5680,3704,5264,4069,3232,1749,836,1698,8807,63,5
126,10268,2026,5358,2069,576,239,11875,5494,1454,984,1227,811,861,623,176,245,2462,79,5
127,15234,2474,6765,4160,1324,511,17819,2537,3352,2352,3618,2167,1922,823,285,763,4828,83,5
128,12460,1236,5291,3566,1577,790,14665,2010,2538,1429,2167,1738,1996,1146,476,1165,4192,53,5
129,31104,5790,11109,8943,3440,1822,37904,6185,6854,3467,6534,4006,4360,3233,977,2288,13638,35,5
130,12127,2317,4854,3585,1060,311,14431,1832,3026,1906,2444,1528,1787,881,264,763,4117,47,5
131,73744,6469,22489,22895,13732,8159,97501,13929,17652,9563,14035,11196,11880,7731,3402,8113,28396,45,5
132,7609,1273,2765,2438,609,524,8884,1178,1731,1245,1599,1030,894,514,259,434,2435,109,5
133,47738,7010,18257,14448,5136,2887,58039,11506,11147,5877,8171,6824,6147,3663,1736,2968,16170,69,5
134,12502,1731,4695,4072,1270,734,13943,1704,2883,1824,2809,1770,1589,778,155,431,2925,89,5
135,6762,1436,2496,1999,511,320,7694,879,1707,945,1462,940,714,461,210,376,1720,97,5
136,7143,1571,2910,1933,368,361,8446,1013,1837,1408,1590,903,798,480,136,281,2544,127,5
137,5841,961,2552,1563,429,336,6624,726,1401,870,1184,875,896,265,96,311,1593,129,5
138,84291,14678,26825,26741,11009,5038,101595,14268,17924,10880,18945,12594,10270,7217,2598,6899,30878,131,5
139,41681,5894,16347,13392,4184,1864,49393,6848,8199,5916,8449,6070,6468,3740,957,2746,15505,33,5
140,163405,20402,48563,42708,34624,17108,194838,30292,22575,14803,28614,24398,25244,16431,7256,25225,67895,7,5
141,7711,1525,3148,2022,727,289,8939,1905,1779,1126,1423,864,809,414,187,432,2442,17,5
142,23757,3427,9836,7212,2077,1205,27698,4060,5771,3218,4500,3276,3519,1738,509,1107,7020,59,5
143,17133,3506,7423,3507,1714,983,20768,3282,4133,2606,3707,2588,2092,1137,356,867,6399,71,5
144,6893,2066,2709,1539,395,184,8090,2271,1738,1134,898,767,576,319,83,304,1842,77,5
145,10914,2222,5005,2426,793,468,12860,1986,2115,1440,2259,1583,1675,964,196,642,3747,87,5
146,7981,1806,3276,1891,722,286,9537,1352,2237,1161,1762,1108,1077,359,152,329,3108,41,5
147,8828,1371,3478,2907,687,385,10091,889,2377,1570,1851,1295,1014,380,209,506,2455,49,5
148,8938,1668,3126,2777,1023,344,10531,1372,1964,1246,2174,1244,1006,730,207,588,3495,61,5
149,70624,8331,21798,26270,9096,5129,81546,9265,14629,9682,15044,9522,9235,6231,2115,5823,19598,51,5
150,27903,4929,10936,8643,2227,1168,33985,4189,7321,4729,5520,3593,3935,1824,771,2103,11595,93,5
151,39964,6393,13635,11059,5826,3051,51201,6737,11156,5964,8842,5696,4899,3683,993,3231,14331,115,5
152,6009,1031,2546,1601,602,229,6905,885,1188,759,1033,967,1027,544,120,382,1706,117,5
153,27264,4402,9891,7485,3928,1558,32026,4353,6539,3680,4798,3527,3441,2357,929,2402,9583,139,5
154,4827,1106,2040,1131,436,114,5540,688,1168,798,984,660,556,302,144,240,1450,147,5
155,18802,2938,7372,5510,1800,1182,21357,2523,3611,2525,3588,3058,2370,1585,496,1601,4886,23,5
156,5735,731,2584,1445,641,334,6824,1129,1128,733,1015,714,893,544,146,522,1905,25,5
157,12454,2811,5377,3116,755,395,14437,3355,2748,1702,2208,1589,1308,641,188,698,3489,67,5
158,14441,2873,5636,4045,1228,659,17305,2640,3397,2053,3171,1950,1892,1168,275,759,5770,57,5
159,12317,2121,5189,3716,762,529,14080,1724,3129,1811,2847,1689,1463,798,180,439,3632,135,5
160,9127,2122,3068,2718,698,521,10459,1411,2088,1956,1925,984,862,655,167,411,2497,137,5
161,134615,21241,35790,34622,25446,17516,176662,29208,26619,15901,28155,23011,19709,12467,5175,16417,55625,143,5
162,29424,3939,12491,8247,3204,1543,35320,4023,6301,4007,6517,4220,4564,2856,996,1836,10687,55,5
163,31590,4006,11104,10660,3914,1906,35111,2532,6308,4602,7278,5179,4905,1843,577,1887,7213,5,5
164,14166,2409,5883,3975,1333,566,16763,2821,3158,1814,2824,1846,1890,1203,380,827,4793,3,5
165,66594,7791,22137,18997,11235,6434,82618,9371,15802,8517,13294,10431,10171,6309,2116,6607,25817,31,5
166,5088,983,2126,1217,612,150,5939,935,1304,763,865,609,514,479,115,355,1363,73,5
167,7202,1197,2902,2171,692,240,8432,1254,1413,839,1570,1093,947,590,303,423,2269,105,5
168,14546,3071,6224,3264,1415,572,17220,2498,3198,1958,3104,2242,1961,1107,313,839,5335,149,5
169,12482,3018,3886,4165,863,550,15252,2482,3462,2240,2434,1570,1529,793,164,578,5149,107,5
170,16332,3343,7034,4358,1160,437,19391,2556,3771,2583,3766,2349,2550,911,384,521,5739,111,5
171,10640,3005,3705,2797,699,434,12995,2097,2114,1366,2490,1638,1671,790,251,578,4995,133,5
172,3719,589,1774,899,302,155,4353,542,761,557,756,520,563,268,110,276,1007,13,5
173,13186,1559,4185,3964,2165,1313,18912,2196,5216,1886,2822,2110,2140,1274,204,1064,4286,19,5
174,7530,1399,3179,1865,736,351,8798,1350,1657,1089,1353,950,1001,585,196,617,2598,11,5
175,11386,1823,4519,3283,1198,563,13719,1681,2931,1900,2466,1482,1757,679,266,557,3710,75,5
176,5193,1160,2220,1329,379,105,6152,701,1552,697,1044,741,688,329,144,256,1553,95,5
177,14096,2081,5599,4648,1110,658,16400,2282,3545,2189,3109,2011,1514,811,255,684,4728,113,5
178,14496,2142,6342,3715,1500,797,16965,2119,3297,2159,2771,2253,1679,1171,374,1142,4791,29,5
179,16834,2491,7085,4682,1549,1027,19734,2914,3987,2399,3662,2020,2225,1189,373,965,5539,103,5
180,5795,1096,2361,1429,582,327,6623,692,1536,1022,1373,727,662,283,115,213,1574,101,5
181,12722,2213,4960,3756,1241,552,14955,1610,3064,1811,2479,2047,1806,932,346,860,4152,1,5
182,8956,1333,3618,3084,661,260,10253,1639,1405,1455,1999,894,1250,705,257,649,2793,81,5
183,46871,5399,16061,15978,6732,2701,55961,7405,8660,5205,7623,6658,7494,5870,1890,5156,18841,85,5
184,19549,2793,7020,5954,2302,1480,22666,2601,4076,2943,4545,2894,2610,1324,509,1164,6195,15,5
185,29694,4430,10919,9664,3211,1470,35066,4585,6541,4188,5532,4123,4382,2476,955,2284,10387,91,5
186,6852,993,2087,2636,859,277,7572,958,1332,836,1475,1049,813,485,184,440,1719,49,6
187,156562,48703,39302,47016,14006,7535,200938,41544,35340,22483,30294,20822,19764,11804,4693,14194,79614,47,6
188,46386,7091,14042,18137,4588,2528,53307,7579,9201,6705,9667,6086,4859,3654,1293,4263,13102,33,6
189,13656,1350,3852,5119,2017,1318,15396,1985,2429,1457,2473,1762,2043,1278,501,1468,2896,43,6
190,46582,8316,11443,19195,5573,2055,57147,9076,8739,6575,8610,6164,6544,4775,1680,4984,20634,115,6
191,767132,83698,137219,233710,198521,113984,908576,136043,123039,67221,98512,76716,91210,75371,36975,203489,261004,13,6
192,13230,1502,4014,4370,2103,1241,15136,1392,1713,1597,2734,2046,1735,1463,648,1808,3708,27,6
193,22422,3960,7265,8416,1761,1020,27278,10674,3402,1713,2452,2007,2208,1827,775,2220,4978,35,6
194,336086,74765,94817,110302,38138,18064,414087,73912,69830,44512,56586,42662,44023,28720,13272,40570,146008,99,6
195,272818,53365,47512,81177,54031,36733,359963,49219,60191,32284,53275,37687,38224,25966,11944,51173,98900,83,6
196,355303,43758,68000,123283,77016,43246,416880,46835,57729,35736,54162,45070,49876,39758,16169,71545,101505,97,6
197,43113,6882,13966,16070,4202,1993,50692,7495,8859,6306,8681,5906,4916,3344,1097,4088,15103,103,6
198,108522,34282,25530,33212,10692,4806,136747,31215,32000,16396,17057,10854,10249,6606,2924,9446,51699,25,6
199,9692,1480,1835,3320,2250,807,11681,943,1511,832,2123,1424,1569,1417,457,1405,2729,51,6
200,37357,7808,9212,13167,4980,2190,45888,6876,6482,4383,5638,4983,5055,4027,1965,6479,15609,69,6
201,1139149,141961,203796,284098,293137,216157,1339671,194226,181263,102993,140801,117300,140544,113412,53849,295283,343885,1,6
202,996195,129295,224145,345169,196514,101072,1193740,191915,180358,115327,147388,116374,134080,99110,46942,162246,360925,67,6
203,132744,9425,28481,50590,28348,15900,154360,20945,21460,13603,20802,14485,14579,13284,5639,29563,38081,17,6
204,97924,14952,17725,31392,22344,11511,116192,13180,16436,9720,14619,11770,13243,10598,4691,21935,30023,55,6
205,2197045,292200,408582,675349,505483,315431,2674812,430522,366332,222081,350129,263685,291053,215231,99659,436120,726458,73,6
206,273560,78790,56609,72720,39587,25854,336512,63386,44110,32226,57104,35109,32375,22782,9497,39923,114125,53,6
207,683074,82618,84072,135318,228294,152772,764957,73811,100113,62758,72650,60088,69550,65213,34220,226554,115409,75,6
208,2313,164,588,1066,344,151,2505,242,281,369,473,287,320,122,46,365,426,91,6
209,266582,83599,68866,77226,24752,12139,338343,70395,64495,39171,49396,32974,31426,19443,7297,23746,143580,107,6
210,124232,17242,23432,33153,25761,24644,174688,30385,33557,15030,20477,14795,16548,12582,5939,25375,45394,113,6
211,91359,8635,21962,33878,17668,9216,113536,12894,21584,14832,18406,12497,12717,8307,3283,9016,25946,23,6
212,75012,4839,13885,29414,17134,9740,84744,9101,12982,7952,12043,10249,9671,6762,2889,13095,17284,57,6
213,811,83,277,243,121,87,1041,213,214,105,106,100,95,86,55,67,258,3,6
214,96096,27278,23827,31695,8945,4351,118744,27020,20260,13131,18482,10580,9868,7590,2906,8907,42681,39,6
215,61673,8079,16180,22129,10117,5168,71717,8711,12671,8874,11341,8111,8232,5117,2227,6433,18936,45,6
216,177627,24138,27591,55291,41971,28636,228191,30849,38657,20634,29660,21373,22414,17010,8450,39144,54067,87,6
217,10098,1033,3219,3880,1556,410,11314,1247,2188,1784,2056,1089,1181,778,194,797,2159,105,6
218,6801851,1485760,1408905,1782880,1384333,739973,8227851,1517532,1243758,803961,1145827,795580,805053,565847,252014,1098279,2267943,37,6
219,1500538,283792,395824,497987,205329,117606,1850351,365733,287448,173303,254790,187903,180068,130666,58065,212375,612402,65,6
220,1313298,273160,344417,436051,168511,91159,1647272,361254,261116,158713,220203,157496,166446,113654,50713,157677,572879,71,6
221,1310623,163160,193771,298091,351778,303823,1545676,241162,203327,103557,152965,118144,140747,114625,53688,417461,434006,85,6
222,191055,12898,21448,46833,62021,47855,216737,23662,26290,14310,21953,16770,19390,17045,8636,68681,52966,41,6
223,260802,14460,49705,98866,65212,32559,305453,42736,39848,22995,34868,26892,32421,26565,13925,65203,85223,61,6
224,31749,3393,7966,13186,4777,2427,36288,3951,6920,4556,5882,4124,4000,2943,1183,2729,8801,93,6
225,125093,11656,32185,54537,17495,9220,146974,20002,24358,17539,21970,17134,16116,10859,4680,14316,38567,89,6
226,295232,36652,68760,114343,52721,22756,353122,52499,55130,28453,41926,32002,41830,32412,13686,55184,98726,95,6
227,19424,3581,6230,6809,1695,1109,22606,5298,3988,2827,3115,1665,1875,1627,788,1423,5796,15,6
228,13509,4130,3132,4123,1524,600,16505,2250,2523,1817,2358,2372,2137,1311,375,1362,5954,11,6
229,17927,4929,4891,5779,1819,509,21747,3907,3845,2313,3406,2687,2178,1643,403,1365,7495,21,6
230,145918,16411,33023,57637,25811,13036,187500,24992,36075,23208,29696,17644,19394,13392,5491,17608,45360,7,6
231,91889,24879,23477,31542,8518,3473,115510,31858,16133,10796,15535,11312,10974,7583,3160,8159,41138,31,6
232,14480,931,3686,6592,1806,1465,16193,1348,2641,2451,2368,1585,1881,1458,496,1965,3059,63,6
233,185803,17708,36805,68113,39299,23878,238061,32153,42027,19529,29715,23759,25352,19825,8944,36757,50666,79,6
234,588491,149076,134373,186653,78378,40011,737153,143214,132418,83844,103219,72588,68728,45819,20898,66425,278781,19,6
235,526286,137823,145694,159688,55523,27558,662468,148627,105363,74170,92863,61513,58138,39884,19424,62486,257210,29,6
236,2132158,326035,369128,603879,537600,295516,2566838,435825,351055,207546,315040,237616,251769,199076,90575,478336,715318,59,6
237,562386,90044,106376,182707,114671,68588,681292,101333,93050,59054,90862,68090,68665,53613,24754,121871,201920,111,6
238,34250,3421,9450,14775,4306,2298,38717,5667,5182,4043,5834,4146,4215,3107,1422,5101,7858,9,6
239,61768,13186,15390,22375,7398,3419,74691,11597,13545,7818,10987,8307,7412,5017,2428,7580,25111,101,6
240,544336,60194,84393,135551,153522,110676,627222,76283,76895,42135,66093,53243,65223,53615,24031,169704,161809,81,6
241,40935,3799,11949,16767,5362,3058,46422,6344,7640,5198,6202,4895,5279,3219,1824,5821,9029,109,6
242,450857,97190,123399,148765,55477,26026,557991,108911,88692,56185,72910,55266,57901,40183,17494,60449,199633,77,6
243,28953,2978,7832,11745,4285,2113,32657,6261,3981,2880,4306,3901,3817,2895,1075,3541,5624,5,6
244,2650,587,668,842,266,287,3088,392,798,408,528,376,301,98,28,159,665,23,8
245,310590,54006,87917,97054,48993,22620,374378,48549,54811,27799,49560,46194,54644,36578,15709,40534,134347,1,8
246,5278,793,1602,1870,741,272,6334,809,1532,754,931,829,629,403,167,280,2242,21,8
247,3546,225,709,1432,831,349,3925,355,728,389,807,487,513,265,82,299,694,27,8
248,209032,4386,25490,57980,78801,42375,247774,29462,31261,12259,20524,19008,24560,24157,13123,73420,89191,35,8
249,37519,3793,6441,10348,12498,4439,43558,3376,4316,2600,5871,6407,6519,5196,2258,7015,12085,37,8
250,5420,716,1811,1204,1298,391,6460,738,861,735,796,860,1306,417,165,582,1337,65,8
251,38496,1853,7556,12483,10263,6341,45692,3955,7162,3815,6264,5265,6465,4781,1805,6180,10492,67,8
252,8853,873,3549,2912,1055,464,10330,1307,1585,701,1746,1239,1068,1184,382,1118,3367,81,8
253,13579,639,1945,2680,5933,2382,15388,1175,1374,970,1630,2267,2736,1483,790,2963,2880,97,8
254,7804,1305,2203,2450,1175,671,9222,884,1979,1232,1463,1296,945,599,295,529,2711,105,8
255,1325,128,434,473,247,43,1570,231,226,137,180,234,195,163,62,142,648,17,8
256,4572,689,2110,1304,319,150,5065,1494,1492,332,510,474,342,200,75,146,903,11,8
257,3926,594,1716,1297,202,117,4909,1145,1661,387,582,318,348,283,58,127,719,25,8
258,1312,120,495,437,179,81,1387,134,237,137,214,225,194,125,32,89,361,33,8
